"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jaden Hardy","DAL",738,1541,356,70,168,0.4166666666666667,58,155,0.3741935483870968,0.3815789473684211,42,62,78,153,21,0.44285714285714284,0.4492753623188406,0.8793103448275862,0.47987616099071206,0.52995796875,0.48606811145510836,0.5129682997118156,2,22,0.13095238095238096,1,0.0064516129032258064,22.41478913922588
"Dwight Powell","DAL",699,1451,175,61,85,0.7176470588235294,0,1,0,0,53,74,48,0,0,0.6065573770491803,0.9024390243902439,0,0.011627906976744186,0.6349116279069767,0.7093023255813954,0.7231404958677686,40,10,0.11764705882352941,0,0,9.051987767584096
"Daniel Gafford","DAL",553,1146,285,128,168,0.7619047619047619,0,0,0,0,29,206,50,0,0,0.8046875,0.9626168224299065,0,0,0.6351761904761904,0.7619047619047619,0.7579787234042553,42,10,0.05952380952380952,0,0,16.266460108443066
"Seth Curry","DAL",371,771,122,21,55,0.38181818181818183,23,63,0.36507936507936506,0.36507936507936506,11,22,20,60,9,0.5238095238095238,0.55,0.8695652173913043,0.5338983050847458,0.5111029661016949,0.4703389830508475,0.5,2,3,0.05454545454545454,1,0.015873015873015872,15.357967667436489
"Richaun Holmes","DAL",146,302,42,16,30,0.5333333333333333,0,0,0,0,10,18,14,0,0,0.5625,0.75,0,0,0.59315,0.5333333333333333,0.6,8,2,0.06666666666666667,0,0,12.35632183908046
"Olivier-Maxence Prosper","DAL",146,295,51,10,16,0.625,7,24,0.2916666666666667,0.2916666666666667,10,14,6,21,0,0.7,0.7777777777777778,1,0.6,0.60667125,0.5125,0.5425531914893617,2,1,0.0625,0,0,14.956011730205278
"Markieff Morris","DAL",141,290,42,6,15,0.4,9,28,0.32142857142857145,0.32142857142857145,3,8,4,27,0,0.6666666666666666,0.6666666666666666,1,0.6511627906976745,0.5312406976744186,0.45348837209302323,0.4666666666666667,0,2,0.13333333333333333,0,0,16.822429906542055
"A.J. Lawson","DAL",132,277,44,14,21,0.6666666666666666,4,26,0.15384615384615385,0.15384615384615385,4,14,14,12,0,0.5,0.5833333333333334,1,0.5531914893617021,0.6090648936170212,0.425531914893617,0.44,4,5,0.23809523809523808,0,0,18.012422360248447
"Brandon Williams","DAL",26,55,10,4,10,0.4,0,2,0,0,2,0,8,0,0,0,0,0,0.16666666666666666,0.545175,0.3333333333333333,0.38461538461538464,0,2,0.2,0,0,22.22222222222222
"Alex Fudge","DAL",8,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.56025,0,0,0,0,0,0,0,11.76470588235294
"Greg Brown III","DAL",3,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.59675,0,0,0,0,0,0,0,20
"Dexter Dennis","DAL",3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.55215,0,0,0,0,0,0,0,22.22222222222222
